,name,latitude,longitude,Ward Name,Ward Code,count,Ward Latitude,Ward Longitude,Average Income,Index of Multiple Deprivation,Avg. House Price Â£k,Ward Population,Ward Crimes
0,Arnos Vale,51.4316,-2.5536,Brislington West,E05010891,1,51.4343938593,-2.54906988637,43799.619771863116,13685.300380228136,265.6311787072243,11336.0,1287.0
1,Ashley Down,51.48,-2.58,Bishopston & Ashley Down,E05010888,1,51.4814532715,-2.58646340656,56094.25837320574,24239.947368421053,401.76555023923447,13415.0,900.0
2,Ashton Gate,51.4406,-2.61905,Bedminster,E05010887,1,51.4371603671,-2.62187227821,43119.875776397515,15573.475155279502,315.3726708074534,12517.0,1036.0
3,Ashton Vale,51.432193,-2.623522,Bedminster,E05010887,1,51.4371603671,-2.62187227821,43119.875776397515,15573.475155279502,315.3726708074534,12517.0,1036.0
4,Avonmouth,51.501,-2.699,Avonmouth & Lawrence Weston,E05010886,1,51.5073341696,-2.67640359358,38226.91680261011,8580.04730831974,247.12724306688418,21375.0,2288.0
5,Baptist Mills,51.4665,-2.5745,Ashley,E05010885,1,51.4683098847,-2.58267316047,44400.0,9698.1766004415,343.64459161147903,19083.0,2675.0
6,Barton Hill,51.4525,-2.5629,Lawrence Hill,E05010907,1,51.4545929175,-2.57123424149,33904.66786355476,3005.3931777378816,226.8258527827648,19473.0,3159.0
7,Bedminster,51.4397,-2.6037,Bedminster,E05010887,1,51.4371603671,-2.62187227821,43119.875776397515,15573.475155279502,315.3726708074534,12517.0,1036.0
8,Bedminster Down,51.41477,-2.62114,Bishopsworth,E05010889,1,51.4217884041,-2.61645553985,37048.48484848485,14629.829545454546,239.41666666666666,11425.0,1391.0
9,Bishopston,51.47693,-2.59751,Redland,E05010909,1,51.4752449941,-2.60115761678,56299.016393442624,26272.04262295082,519.6131147540983,13088.0,772.0
10,Bishopsworth,51.41477,-2.62114,Bishopsworth,E05010889,1,51.4217884041,-2.61645553985,37048.48484848485,14629.829545454546,239.41666666666666,11425.0,1391.0
11,Blaise Hamlet,51.507218,-2.635608,Henbury & Brentry,E05010901,1,51.5089736142,-2.62103514848,38743.07692307692,8907.323076923078,257.8,12473.0,1150.0
12,Bower Ashton,51.44166,-2.62988,Bedminster,E05010887,1,51.4371603671,-2.62187227821,43119.875776397515,15573.475155279502,315.3726708074534,12517.0,1036.0
13,Brentry,51.51,-2.61,Henbury & Brentry,E05010901,1,51.5089736142,-2.62103514848,38743.07692307692,8907.323076923078,257.8,12473.0,1150.0
14,Brislington,51.4316,-2.5439,Brislington East,E05010890,1,51.4402835576,-2.53865369047,40835.07462686567,12991.216417910447,246.6865671641791,11892.0,751.0
15,Broadmead,51.457,-2.588,Central,E05010892,1,51.4544148955,-2.59433619751,45808.04911323329,12850.00954979536,302.18008185538883,20656.0,8672.0
16,Broomhill,51.4316,-2.5439,Brislington East,E05010890,1,51.4402835576,-2.53865369047,40835.07462686567,12991.216417910447,246.6865671641791,11892.0,751.0
17,Broomhill,51.49,-2.53,Frome Vale,E05010899,1,51.4870905493,-2.53119915299,37993.54838709677,10998.900293255132,303.3636363636364,13477.0,1417.0
18,Chester Park,51.4747,-2.5188,Hillfields,E05010903,1,51.4737018096,-2.5225753211,38159.59595959596,9266.13468013468,270.5791245791246,12898.0,1022.0
19,Chittening,51.529,-2.675,Avonmouth & Lawrence Weston,E05010886,1,51.5073341696,-2.67640359358,38226.91680261011,8580.04730831974,247.12724306688418,21375.0,2288.0
20,City centre,51.453632,-2.591341,Central,E05010892,1,51.4544148955,-2.59433619751,45808.04911323329,12850.00954979536,302.18008185538883,20656.0,8672.0
21,Clifton,51.46,-2.62,Clifton,E05010893,1,51.4565158032,-2.61996331305,50983.23863636364,23870.107954545456,530.6022727272727,13581.0,781.0
22,Cliftonwood,51.4510975,-2.6097115000000004,Clifton,E05010893,1,51.4565158032,-2.61996331305,50983.23863636364,23870.107954545456,530.6022727272727,13581.0,781.0
23,Conham,51.44,-2.53,Brislington East,E05010890,1,51.4402835576,-2.53865369047,40835.07462686567,12991.216417910447,246.6865671641791,11892.0,751.0
24,Coombe Dingle,51.4952,-2.646,Avonmouth & Lawrence Weston,E05010886,1,51.5073341696,-2.67640359358,38226.91680261011,8580.04730831974,247.12724306688418,21375.0,2288.0
25,Cotham,51.4653,-2.6012,Cotham,E05010895,1,51.4659633898,-2.59991083361,52680.48780487805,21720.739837398374,426.2235772357724,12110.0,773.0
26,Crew's Hole,51.4592,-2.5411,St George West,E05010912,1,51.4601173974,-2.54693954016,38075.294117647056,9440.20588235294,238.61764705882354,6518.0,669.0
27,Crofts End,51.475,-2.5574,Eastville,E05010897,1,51.4747101824,-2.54692680567,41384.023668639056,9685.763313609468,277.3609467455621,14696.0,1616.0
28,Easton,51.45909,-2.56993,Lawrence Hill,E05010907,1,51.4545929175,-2.57123424149,33904.66786355476,3005.3931777378816,226.8258527827648,19473.0,3159.0
29,Eastville,51.475,-2.5574,Eastville,E05010897,1,51.4747101824,-2.54692680567,41384.023668639056,9685.763313609468,277.3609467455621,14696.0,1616.0
30,Filwood Park,51.426,-2.5843,Filwood,E05010898,1,51.4254187146,-2.59280262818,34159.85401459854,2816.689781021898,228.5912408759124,13750.0,1721.0
31,Fishponds,51.4805,-2.5241,Frome Vale,E05010899,1,51.4870905493,-2.53119915299,37993.54838709677,10998.900293255132,303.3636363636364,13477.0,1417.0
32,Golden Hill,51.4876,-2.5951,Westbury-on-Trym & Henleaze,E05010917,1,51.4897948304,-2.61748273112,54507.5,29341.92142857143,534.5660714285714,19971.0,827.0
33,Greenbank,51.468,-2.557,Easton,E05010896,1,51.4623719964,-2.55850571231,37942.01388888889,8262.618055555555,259.34722222222223,14169.0,1377.0
34,Hartcliffe,51.4092,-2.5987,Hartcliffe & Withywood,E05010900,1,51.4077037025,-2.6122179734,30537.91574279379,1579.1662971175167,206.9068736141907,19005.0,2653.0
35,Headley Park,51.4092,-2.5987,Hartcliffe & Withywood,E05010900,1,51.4077037025,-2.6122179734,30537.91574279379,1579.1662971175167,206.9068736141907,19005.0,2653.0
36,Henbury,51.505,-2.6284,Henbury & Brentry,E05010901,1,51.5089736142,-2.62103514848,38743.07692307692,8907.323076923078,257.8,12473.0,1150.0
37,Hengrove,51.416,-2.5918,Filwood,E05010898,1,51.4254187146,-2.59280262818,34159.85401459854,2816.689781021898,228.5912408759124,13750.0,1721.0
38,Henleaze,51.49,-2.5989,Westbury-on-Trym & Henleaze,E05010917,1,51.4897948304,-2.61748273112,54507.5,29341.92142857143,534.5660714285714,19971.0,827.0
39,Hillfields,51.4747,-2.5188,Hillfields,E05010903,1,51.4737018096,-2.5225753211,38159.59595959596,9266.13468013468,270.5791245791246,12898.0,1022.0
40,Horfield,51.49,-2.5805,Horfield,E05010904,1,51.4950842804,-2.586379126,43355.555555555555,14102.84126984127,313.1746031746032,13415.0,1256.0
41,Hotwells,51.45,-2.62,Hotwells & Harbourside,E05010905,1,51.4497285026,-2.60957858467,47079.69543147208,16354.888324873096,398.4568527918782,6056.0,2181.0
42,Kensington Park,51.4316,-2.5536,Brislington West,E05010891,1,51.4343938593,-2.54906988637,43799.619771863116,13685.300380228136,265.6311787072243,11336.0,1287.0
43,Kingsdown,51.468,-2.613,Clifton Down,E05010894,1,51.4649698075,-2.61265665527,56292.76315789474,25230.625,453.30263157894734,11639.0,845.0
44,Knowle,51.434,-2.5721,Knowle,E05010906,1,51.4327773874,-2.57233440569,40662.01550387597,12874.073643410853,308.4922480620155,13345.0,988.0
45,Knowle West,51.426,-2.59,Filwood,E05010898,1,51.4254187146,-2.59280262818,34159.85401459854,2816.689781021898,228.5912408759124,13750.0,1721.0
46,Lawrence Hill,51.457,-2.57,Lawrence Hill,E05010907,1,51.4545929175,-2.57123424149,33904.66786355476,3005.3931777378816,226.8258527827648,19473.0,3159.0
47,Lawrence Weston,51.502,-2.659,Avonmouth & Lawrence Weston,E05010886,1,51.5073341696,-2.67640359358,38226.91680261011,8580.04730831974,247.12724306688418,21375.0,2288.0
48,Lockleaze,51.4901,-2.5608,Lockleaze,E05010908,1,51.4858562509,-2.56566726138,38729.11392405063,7609.5864978902955,320.4810126582278,13398.0,1445.0
49,Lodge Hill,51.4693,-2.5145,Hillfields,E05010903,1,51.4737018096,-2.5225753211,38159.59595959596,9266.13468013468,270.5791245791246,12898.0,1022.0
50,Mayfield Park,51.4805,-2.5241,Frome Vale,E05010899,1,51.4870905493,-2.53119915299,37993.54838709677,10998.900293255132,303.3636363636364,13477.0,1417.0
51,Monks Park,51.49841,-2.58918,Horfield,E05010904,1,51.4950842804,-2.586379126,43355.555555555555,14102.84126984127,313.1746031746032,13415.0,1256.0
52,Montpelier,51.46786662962962,-2.5854882962962966,Ashley,E05010885,1,51.4683098847,-2.58267316047,44400.0,9698.1766004415,343.64459161147903,19083.0,2675.0
53,Redcliffe,51.4478,-2.5895,Central,E05010892,1,51.4544148955,-2.59433619751,45808.04911323329,12850.00954979536,302.18008185538883,20656.0,8672.0
54,Redfield,51.45971,-2.55653,Easton,E05010896,1,51.4623719964,-2.55850571231,37942.01388888889,8262.618055555555,259.34722222222223,14169.0,1377.0
55,Redland,51.47241,-2.60321,Redland,E05010909,1,51.4752449941,-2.60115761678,56299.016393442624,26272.04262295082,519.6131147540983,13088.0,772.0
56,Sea Mills,51.4856,-2.6422,Stoke Bishop,E05010916,1,51.4774256958,-2.63604316329,52207.27272727273,23625.71212121212,593.6121212121212,12068.0,604.0
57,Shirehampton,51.4945,-2.6712,Avonmouth & Lawrence Weston,E05010886,1,51.5073341696,-2.67640359358,38226.91680261011,8580.04730831974,247.12724306688418,21375.0,2288.0
58,Sneyd Park,51.4766,-2.6421,Stoke Bishop,E05010916,1,51.4774256958,-2.63604316329,52207.27272727273,23625.71212121212,593.6121212121212,12068.0,604.0
59,Southmead,51.5039,-2.6028,Southmead,E05010913,1,51.5030620845,-2.60111790007,36750.56179775281,5976.393258426966,295.438202247191,12632.0,1171.0
60,Southville,51.445,-2.6003,Southville,E05010914,1,51.4433220308,-2.60399054226,43858.620689655174,12797.871473354233,340.2758620689655,12671.0,2105.0
61,Speedwell,51.4682,-2.5268,Eastville,E05010897,1,51.4747101824,-2.54692680567,41384.023668639056,9685.763313609468,277.3609467455621,14696.0,1616.0
62,Spike Island,51.4479,-2.6087,Hotwells & Harbourside,E05010905,1,51.4497285026,-2.60957858467,47079.69543147208,16354.888324873096,398.4568527918782,6056.0,2181.0
63,St Andrew's,51.4712805,-2.588771666666667,Ashley,E05010885,1,51.4683098847,-2.58267316047,44400.0,9698.1766004415,343.64459161147903,19083.0,2675.0
64,St Anne's,51.4316,-2.5536,Brislington West,E05010891,1,51.4343938593,-2.54906988637,43799.619771863116,13685.300380228136,265.6311787072243,11336.0,1287.0
65,St Philip's Marsh,51.4479,-2.5666,Lawrence Hill,E05010907,1,51.4545929175,-2.57123424149,33904.66786355476,3005.3931777378816,226.8258527827648,19473.0,3159.0
66,St. George,51.4586,-2.5385,St George Central,E05010910,1,51.4621405804,-2.52638340272,36888.88888888889,9147.989583333334,281.34027777777777,12902.0,1105.0
67,St. Jude's,51.460012,-2.579625,Lawrence Hill,E05010907,1,51.4545929175,-2.57123424149,33904.66786355476,3005.3931777378816,226.8258527827648,19473.0,3159.0
68,St. Paul's,51.4656,-2.582,Ashley,E05010885,1,51.4683098847,-2.58267316047,44400.0,9698.1766004415,343.64459161147903,19083.0,2675.0
69,St. Werburgh's,51.47,-2.576,Ashley,E05010885,1,51.4683098847,-2.58267316047,44400.0,9698.1766004415,343.64459161147903,19083.0,2675.0
70,Stapleton,51.4804,-2.5552,Eastville,E05010897,1,51.4747101824,-2.54692680567,41384.023668639056,9685.763313609468,277.3609467455621,14696.0,1616.0
71,Stockwood,51.4147,-2.541,Stockwood,E05010915,1,51.418418512,-2.54973459028,37129.88047808765,13349.601593625497,227.30278884462152,11580.0,820.0
72,Stoke Bishop,51.4804,-2.6299,Stoke Bishop,E05010916,1,51.4774256958,-2.63604316329,52207.27272727273,23625.71212121212,593.6121212121212,12068.0,604.0
73,Totterdown,51.4388,-2.566,Knowle,E05010906,1,51.4327773874,-2.57233440569,40662.01550387597,12874.073643410853,308.4922480620155,13345.0,988.0
74,Tyndall's Park,51.46,-2.6,Central,E05010892,1,51.4544148955,-2.59433619751,45808.04911323329,12850.00954979536,302.18008185538883,20656.0,8672.0
75,Upper Knowle,51.434,-2.5721,Knowle,E05010906,1,51.4327773874,-2.57233440569,40662.01550387597,12874.073643410853,308.4922480620155,13345.0,988.0
76,Westbury Park,51.4788,-2.6121,Westbury-on-Trym & Henleaze,E05010917,1,51.4897948304,-2.61748273112,54507.5,29341.92142857143,534.5660714285714,19971.0,827.0
77,Westbury-on-Trym,51.493,-2.6196,Westbury-on-Trym & Henleaze,E05010917,1,51.4897948304,-2.61748273112,54507.5,29341.92142857143,534.5660714285714,19971.0,827.0
78,Whitehall,51.462,-2.554,St George West,E05010912,1,51.4601173974,-2.54693954016,38075.294117647056,9440.20588235294,238.61764705882354,6518.0,669.0
79,Windmill Hill,51.4412,-2.5861,Windmill Hill,E05010918,1,51.4390971799,-2.58594427096,45177.23880597015,13710.276119402984,302.59328358208955,13735.0,904.0
80,Withywood,51.41477,-2.62114,Bishopsworth,E05010889,1,51.4217884041,-2.61645553985,37048.48484848485,14629.829545454546,239.41666666666666,11425.0,1391.0
