,count,subnb_tot,plus,admin_id,town_id,type,url,child_url,admin_nom,admin_nom2,admin_nom3,admin_nom_en,nom,nom2,nom3,zips,iso2,nuts,fips,ign,hasc,nb,subnb,capital,suburbs
0,71,5223,True,GB70,11023967,town,City_of_Bristol,City_of_Bristol?loc=Arnos Vale,,,,,Arnos Vale,,,BS4,,,,,,0,5,False,
1,71,5223,True,GB70,4032179,town,City_of_Bristol,City_of_Bristol?loc=Ashley Down,,,,,Ashley Down,,,BS7,,,,,,0,5,False,
2,71,5223,True,GB70,4032017,town,City_of_Bristol,City_of_Bristol?loc=Ashton,,,,,Ashton,,,"BS3 2NR, BS3 2SX",,,,,,0,2,False,
3,71,5223,True,GB70,4032018,town,City_of_Bristol,City_of_Bristol?loc=Ashton Gate,,,,,Ashton Gate,,,"BS3 2EE, BS3 2EF",,,,,,0,2,False,
4,71,5223,True,GB70,11023563,town,City_of_Bristol,City_of_Bristol?loc=Avonmouth,,,,,Avonmouth,,,BS11,,,,,,0,26,False,
5,71,5223,True,GB70,4032120,town,City_of_Bristol,City_of_Bristol?loc=Avon Valley Business Park,,,,,Avon Valley Business Park,,,"BS4 4EE, BS4 4EU",,,,,,0,2,False,
6,71,5223,True,GB70,4031914,town,City_of_Bristol,City_of_Bristol?loc=Baptist Mills,,,,,Baptist Mills,,,BS2 9RS,,,,,,0,1,False,
7,71,5223,True,GB70,11024024,town,City_of_Bristol,City_of_Bristol?loc=Barton Hill,,,,,Barton Hill,,,BS5,,,,,,0,14,False,
8,71,5223,True,GB70,11023820,town,City_of_Bristol,City_of_Bristol?loc=Bedminster,,,,,Bedminster,,,BS3,,,,,,0,50,False,
9,71,5223,True,GB70,4031888,town,City_of_Bristol,City_of_Bristol?loc=Bedminster Down,,,,,Bedminster Down,,,"BS13 7BP, BS13 7DE, BS13 7DF",,,,,,0,2,False,
10,71,5223,True,GB70,11024077,town,City_of_Bristol,City_of_Bristol?loc=Bishopston,,,,,Bishopston,,,BS7,,,,,,0,19,False,
11,71,5223,True,GB70,4031889,town,City_of_Bristol,City_of_Bristol?loc=Bishopsworth,,,,,Bishopsworth,,,BS13,,,,,,0,14,False,
12,71,5223,True,GB70,10962581,town,City_of_Bristol,City_of_Bristol?loc=Brentry,,,,,Brentry,,,BS10,,,,,,0,10,False,
13,71,5223,True,GB70,11023968,town,City_of_Bristol,City_of_Bristol?loc=Brislington,,,,,Brislington,,,BS4,,,,,,0,20,False,
14,71,5223,True,GB70,12325385,town,City_of_Bristol,City_of_Bristol?loc=Bristol,,,,,Bristol,,,"BS1, BS10, BS11, BS13, BS14, BS16, BS2, BS3, BS4, BS5, BS6, BS7, BS8, BS9",,,,,,0,4416,True,
15,71,5223,True,GB70,11023580,town,City_of_Bristol,City_of_Bristol?loc=Chittening,,,,,Chittening,,,"BS11 0YB, BS11 0YD, BS11 0YL",,,,,,0,3,False,
16,71,5223,True,GB70,11024048,town,City_of_Bristol,City_of_Bristol?loc=Clay Hill,,,,,Clay Hill,,,"BS5 7EP, BS5 7EW, BS5 7EY",,,,,,0,2,False,
17,71,5223,True,GB70,11024164,town,City_of_Bristol,City_of_Bristol?loc=Clifton,,,,,Clifton,,,BS8,,,,,,0,57,False,
18,71,5223,True,GB70,4032188,town,City_of_Bristol,City_of_Bristol?loc=Clifton Wood,,,,,Clifton Wood,,,"BS8 4TL, BS8 4TQ",,,,,,0,2,False,
19,71,5223,True,GB70,4032195,town,City_of_Bristol,City_of_Bristol?loc=Coombe Dingle,,,,,Coombe Dingle,,,BS9,,,,,,0,3,False,
20,71,5223,True,GB70,11024069,town,City_of_Bristol,City_of_Bristol?loc=Cotham,,,,,Cotham,,,BS6,,,,,,0,10,False,
21,71,5223,True,GB70,4032174,town,City_of_Bristol,City_of_Bristol?loc=Durdham Park,,,,,Durdham Park,,,BS6 6XT,,,,,,0,1,False,
22,71,5223,True,GB70,11024049,town,City_of_Bristol,City_of_Bristol?loc=Easton,,,,,Easton,,,BS5,,,,,,0,26,False,
23,71,5223,True,GB70,4063272,town,City_of_Bristol,City_of_Bristol?loc=Eastville,,,,,Eastville,,,BS5,,,,,,0,19,False,
24,71,5223,True,GB70,11023658,town,City_of_Bristol,City_of_Bristol?loc=Fishponds,,,,,Fishponds,,,BS16,,,,,,0,43,False,
25,71,5223,True,GB70,4063273,town,City_of_Bristol,City_of_Bristol?loc=Greenbank,,,,,Greenbank,,,BS5,,,,,,0,5,False,
26,71,5223,True,GB70,4031892,town,City_of_Bristol,City_of_Bristol?loc=Hawkfield Business Park,,,,,Hawkfield Business Park,,,BS14,,,,,,0,2,False,
27,71,5223,True,GB70,11023546,town,City_of_Bristol,City_of_Bristol?loc=Henbury,,,,,Henbury,,,BS10,,,,,,0,13,False,
28,71,5223,True,GB70,11023597,town,City_of_Bristol,City_of_Bristol?loc=Hengrove,,,,,Hengrove,,,BS14,,,,,,0,4,False,
29,71,5223,True,GB70,11009161,town,City_of_Bristol,City_of_Bristol?loc=Henleaze,,,,,Henleaze,,,BS9,,,,,,0,7,False,
30,71,5223,True,GB70,11024092,town,City_of_Bristol,City_of_Bristol?loc=Horfield,,,,,Horfield,,,BS7,,,,,,0,32,False,
31,71,5223,True,GB70,4032190,town,City_of_Bristol,City_of_Bristol?loc=Hotwells,,,,,Hotwells,,,"BS8 4PZ, BS8 4PZ, BS8 4QD",,,,,,0,1,False,
32,71,5223,True,GB70,4031916,town,City_of_Bristol,City_of_Bristol?loc=Kingsdown,,,,,Kingsdown,,,BS2,,,,,,0,9,False,
33,71,5223,True,GB70,4031885,town,City_of_Bristol,City_of_Bristol?loc=Kingsweston,,,,,Kingsweston,,,BS11,,,,,,0,4,False,
34,71,5223,True,GB70,4032123,town,City_of_Bristol,City_of_Bristol?loc=Knowle,,,,,Knowle,,,"BS14, BS4",,,,,,0,16,False,
35,71,5223,True,GB70,11024052,town,City_of_Bristol,City_of_Bristol?loc=Lawrence Hill,,,,,Lawrence Hill,,,BS5,,,,,,0,6,False,
36,71,5223,True,GB70,4031886,town,City_of_Bristol,City_of_Bristol?loc=Lawrence Weston,,,,,Lawrence Weston,,,BS11,,,,,,0,10,False,
37,71,5223,True,GB70,11024070,town,City_of_Bristol,City_of_Bristol?loc=Montpelier,,,,,Montpelier,,,BS6,,,,,,0,8,False,
38,71,5223,True,GB70,4031873,town,City_of_Bristol,City_of_Bristol?loc=Redcliffe,,,,,Redcliffe,,,BS1,,,,,,0,6,False,
39,71,5223,True,GB70,11024055,town,City_of_Bristol,City_of_Bristol?loc=Redfield,,,,,Redfield,,,BS5,,,,,,0,18,False,
40,71,5223,True,GB70,11024075,town,City_of_Bristol,City_of_Bristol?loc=Redland,,,,,Redland,,,BS6,,,,,,0,22,False,
41,71,5223,True,GB70,4031917,town,City_of_Bristol,City_of_Bristol?loc=Saint Agnes,,,,,Saint Agnes,,,BS2,,,,,,0,1,False,
42,71,5223,True,GB70,4032184,town,City_of_Bristol,City_of_Bristol?loc=Saint Andrews,,,,,Saint Andrews,,,"BS6, BS7",,,,,,0,6,False,
43,71,5223,True,GB70,4032125,town,City_of_Bristol,City_of_Bristol?loc=Saint Annes,,,,,Saint Annes,,,"BS4 4FB, BS4 4QB",,,,,,0,2,False,
44,71,5223,True,GB70,11023996,town,City_of_Bristol,City_of_Bristol?loc=Saint Annes Park,,,,,Saint Annes Park,,,BS4,,,,,,0,33,False,
45,71,5223,True,GB70,4031874,town,City_of_Bristol,City_of_Bristol?loc=Saint Augustines,,,,,Saint Augustines,,,BS1 5AJ,,,,,,0,1,False,
46,71,5223,True,GB70,11024058,town,City_of_Bristol,City_of_Bristol?loc=Saint George,,,,,Saint George,,,BS5,,,,,,0,42,False,
47,71,5223,True,GB70,4031918,town,City_of_Bristol,City_of_Bristol?loc=Saint James,,,,,Saint James,,,"BS2 8EU, BS2 8EX, BS2 8EY",,,,,,0,1,False,
48,71,5223,True,GB70,11024059,town,City_of_Bristol,City_of_Bristol?loc=Saint Judes,,,,,Saint Judes,,,"BS2 9ED, BS5 0TN, BS5 0TW",,,,,,0,2,False,
49,71,5223,True,GB70,11023708,town,City_of_Bristol,City_of_Bristol?loc=Saint Pauls,,,,,Saint Pauls,,,BS2,,,,,,0,18,False,
50,71,5223,True,GB70,11023715,town,City_of_Bristol,City_of_Bristol?loc=Saint Philips,,,,,Saint Philips,,,BS2,,,,,,0,23,False,
51,71,5223,True,GB70,11023716,town,City_of_Bristol,City_of_Bristol?loc=Saint Werburghs,,,,,Saint Werburghs,,,BS2,,,,,,0,5,False,
52,71,5223,True,GB70,4032197,town,City_of_Bristol,City_of_Bristol?loc=Sea Mills,,,,,Sea Mills,,,BS9,,,,,,0,2,False,
53,71,5223,True,GB70,11023581,town,City_of_Bristol,City_of_Bristol?loc=Shirehampton,,,,,Shirehampton,,,BS11,,,,,,0,20,False,
54,71,5223,True,GB70,12730694,town,City_of_Bristol,City_of_Bristol?loc=Siston,,,,,Siston,,,"BS16 9LR, BS16 9LS, BS16 9LT",,,,,,0,2,False,
55,71,5223,True,GB70,10994133,town,City_of_Bristol,City_of_Bristol?loc=Sneyd Park,,,,,Sneyd Park,,,BS9,,,,,,0,1,False,
56,71,5223,True,GB70,4031880,town,City_of_Bristol,City_of_Bristol?loc=Southmead,,,,,Southmead,,,BS10,,,,,,0,4,False,
57,71,5223,True,GB70,11023840,town,City_of_Bristol,City_of_Bristol?loc=Southville,,,,,Southville,,,BS3,,,,,,0,20,False,
58,71,5223,True,GB70,11024056,town,City_of_Bristol,City_of_Bristol?loc=Speedwell,,,,,Speedwell,,,BS5,,,,,,0,6,False,
59,71,5223,True,GB70,11023666,town,City_of_Bristol,City_of_Bristol?loc=Stapleton,,,,,Stapleton,,,BS16,,,,,,0,26,False,
60,71,5223,True,GB70,4031896,town,City_of_Bristol,City_of_Bristol?loc=Stockwood,,,,,Stockwood,,,BS14 8JG,,,,,,0,1,False,
61,71,5223,True,GB70,4032199,town,City_of_Bristol,City_of_Bristol?loc=Stoke Bishop,,,,,Stoke Bishop,,,BS9,,,,,,0,9,False,
62,71,5223,True,GB70,11023538,town,City_of_Bristol,City_of_Bristol?loc=Temple Meads,,,,,Temple Meads,,,BS1,,,,,,0,4,False,
63,71,5223,True,GB70,4032127,town,City_of_Bristol,City_of_Bristol?loc=Totterdown,,,,,Totterdown,,,"BS3, BS4",,,,,,0,14,False,
64,71,5223,True,GB70,4032193,town,City_of_Bristol,City_of_Bristol?loc=Tyndalls Park,,,,,Tyndalls Park,,,BS8,,,,,,0,2,False,
65,71,5223,True,GB70,11024188,town,City_of_Bristol,City_of_Bristol?loc=Westbury-on-Trym,,,,,Westbury-on-Trym,,,"BS10, BS9",,,,,,0,42,False,
66,71,5223,True,GB70,4032178,town,City_of_Bristol,City_of_Bristol?loc=Westbury Park,,,,,Westbury Park,,,BS6,,,,,,0,7,False,
67,71,5223,True,GB70,11024060,town,City_of_Bristol,City_of_Bristol?loc=Whitehall,,,,,Whitehall,,,BS5,,,,,,0,9,False,
68,71,5223,,,4031894,town,City_of_Bristol,City_of_Bristol?loc=Hengrove Park,,,,,Hengrove Park,,,BS14 0DB,,,,,,0,1,False,
69,71,5223,,,11023995,town,City_of_Bristol,City_of_Bristol?loc=Pylle Hill,,,,,Pylle Hill,,,"BS4 3DP, BS4 3DR, BS4 3DT",,,,,,0,1,False,
70,71,5223,,,4031922,town,City_of_Bristol,City_of_Bristol?loc=Saint Philips Marsh,,,,,Saint Philips Marsh,,,BS2 0TA,,,,,,0,1,False,
